ID,PARTNER,LOG_DATE,BPCOUNTRY_code
23677956,R-23677956,2004-01-17T18:30:00.000Z,200
23677957,R-23677957,2013-08-28T18:30:00.000Z,200
23677958,R-23677958,2003-06-30T18:30:00.000Z,200
23677959,R-23677959,2011-10-06T18:30:00.000Z,200
23677960,R-23677960,2006-12-08T18:30:00.000Z,200
23677961,R-23677961,2016-02-24T18:30:00.000Z,200
23677962,R-23677962,2012-06-28T18:30:00.000Z,200
23677963,R-23677963,2006-12-14T18:30:00.000Z,200
23677964,R-23677964,2007-11-23T18:30:00.000Z,200
23677965,R-23677965,2004-11-29T18:30:00.000Z,200
